NAME,OBJECTID,n1,n2,n3,n4,n5,n6
2851,266,0.332326284,0.16918429,0.14652568,0.105740181,0.137462236,0.108761329
2852,267,0.245810056,0.145251397,0.173184358,0.072625698,0.206703911,0.156424581
2853,268,0.280701754,0.152046784,0.152046784,0.064327485,0.198830409,0.152046784
2854,269,0.290506781,0.173447537,0.130620985,0.102783726,0.175588865,0.127052106
2855,270,0.261663286,0.153144016,0.114604462,0.109533469,0.190669371,0.170385396
2856,271,0.142857143,0.119047619,0.19047619,0.071428571,0.333333333,0.142857143
2857,272,0.257142857,0.085714286,0.214285714,0.1,0.242857143,0.1
2858,273,0.122065728,0.150234742,0.145539906,0.089201878,0.328638498,0.164319249
2859,274,0.422222222,0.15,0.088888889,0.061111111,0.166666667,0.111111111
2860,275,0.265306122,0.112244898,0.204081633,0.112244898,0.214285714,0.091836735
2861,276,0.32300885,0.162610619,0.142699115,0.103982301,0.158185841,0.109513274
2862,277,0.276393832,0.183867141,0.119810202,0.136417556,0.150652432,0.132858837
2863,278,0.288288288,0.153153153,0.117117117,0.146396396,0.171171171,0.123873874
2864,279,0.246696035,0.149779736,0.118942731,0.145374449,0.18061674,0.158590308
2865,280,0.27027027,0.162162162,0.162162162,0.162162162,0.155405405,0.087837838
2866,281,0.305555556,0.195987654,0.12654321,0.089506173,0.149691358,0.132716049
2867,282,0.161764706,0.220588235,0.132352941,0.132352941,0.176470588,0.176470588
2868,283,0.251290878,0.185886403,0.141135972,0.141135972,0.185886403,0.094664372
2869,284,0.24,0.186666667,0.16,0.08,0.226666667,0.106666667
2870,285,0.179715302,0.135231317,0.129893238,0.153024911,0.236654804,0.165480427
2871,293,0.221662469,0.166246851,0.153652393,0.115869018,0.214105793,0.128463476
2872,294,0.4,0.15,0.083333333,0.15,0.15,0.066666667
2873,286,0.227272727,0.090909091,0.181818182,0.151515152,0.181818182,0.166666667
2874,287,0.23715415,0.148880105,0.115942029,0.146245059,0.217391304,0.134387352
2875,289,0.159642401,0.154533844,0.130268199,0.154533844,0.246487867,0.154533844
2876,288,0.186695279,0.156652361,0.118025751,0.111587983,0.246781116,0.180257511
2877,290,0.205645161,0.133064516,0.181451613,0.149193548,0.177419355,0.153225806
2878,291,0.108108108,0.351351351,0.054054054,0.108108108,0.243243243,0.135135135
2879,402,0.20083682,0.150627615,0.144351464,0.150627615,0.238493724,0.115062762
2880,403,0.249122807,0.163157895,0.170175439,0.126315789,0.166666667,0.124561404
